 # Hello from the echem328!  More info at circuitsci.com
# Setup
# Settings loaded
# dataSetId: 1
# boardNumber: 137
# sensorNumber: 162820264
# version: 1
# freeRAM = 225
# avgNumber: 8
# avgDelay: 100
# readInterval: 2000
# startupDelay: 15
# triggerMode: 1
# triggerQualify: 0
# filterFrequency = 0.02
# filterQfactor = 0.71
# windowLength = 1000.00
# afeLoadResistor: 2
# afeGainResistor: 0
# afeBias: 0
# afeBiasPolarity: 1
# auxOffset: -0.75
# adcOffset(0-3): 0.75, 1.11, 1.32, 2.79
# adcGain: 1
# sensorType: 0
# sensorSensitivity: 618.90
# sensorOffset: -91.40
# sensitivity factors (-30 to +50C)  = [ 1.92, 1.69, 1.43, 1.22, 1.09, 1.00, 0.93, 0.89, 0.86 ]
# zero current factors (-30 to +50C) = [ 5.00, 5.00, 5.00, 0.00, -5.00, -65.00, -120.00, -205.00, -375.00 ]
# data_fields = [ 1, 1, 2, 2, 2, 2, 2, 3, 3, 4,    4, 0, 0, 0, 3, 0, 0, 0, 0, 0,    0, 0, 0, 0 ]
 
INDEX, TIME, Vin, Vdd, Vaux, Vwe, Vref, TEMP, PPMraw, PPM, PPMf, AUXf, 
1, 17948, 0.00, 4.97, 0.41, 43.58, 1024.00, 23.763, 0.343, 0.4776, 0.2388, 0.203
2, 19948, 0.00, 4.97, -1.48, 43.22, 1023.88, 23.763, 0.340, 0.4748, 0.3449, 0.234
3, 21948, 0.00, 4.97, -2.31, 43.53, 1024.00, 23.725, 0.343, 0.4770, 0.4250, 0.120
4, 23948, 0.00, 4.97, -0.42, 43.62, 1024.00, 23.737, 0.343, 0.4778, 0.4824, -0.051
5, 25948, 0.00, 4.97, 0.39, 44.58, 1024.00, 23.750, 0.351, 0.4854, 0.5212, -0.164
6, 27948, 0.00, 4.97, -0.19, 44.09, 1024.00, 23.763, 0.347, 0.4817, 0.5450, -0.224
7, 29948, 0.00, 4.97, -1.36, 43.09, 1024.00, 23.788, 0.339, 0.4739, 0.5569, -0.299
8, 31948, 0.00, 4.97, -1.39, 42.69, 1024.00, 23.800, 0.336, 0.4708, 0.5596, -0.418
9, 33948, 0.00, 4.97, -1.31, 42.67, 1024.00, 23.812, 0.336, 0.4707, 0.5558, -0.557
10, 35948, 0.00, 4.97, -0.95, 42.42, 1024.00, 23.837, 0.334, 0.4689, 0.5478, -0.688
11, 37948, 0.00, 4.97, -2.36, 42.62, 1024.00, 23.825, 0.335, 0.4704, 0.5375, -0.837
12, 39948, 0.00, 4.97, -1.61, 42.78, 1024.00, 23.837, 0.336, 0.4717, 0.5263, -1.011
13, 41948, 0.00, 4.97, -3.28, 43.02, 1024.00, 23.850, 0.338, 0.4736, 0.5153, -1.219
14, 43948, 0.00, 4.97, -2.20, 43.20, 1024.00, 23.862, 0.340, 0.4752, 0.5053, -1.455
 # Hello from the echem328!  More info at circuitsci.com
# Setup
# Settings loaded
# dataSetId: 1
# boardNumber: 137
# sensorNumber: 162820264
# version: 1
# freeRAM = 225
# avgNumber: 8
# avgDelay: 100
# readInterval: 2000
# startupDelay: 15
# triggerMode: 1
# triggerQualify: 0
# filterFrequency = 0.02
# filterQfactor = 0.71
# windowLength = 1000.00
# afeLoadResistor: 2
# afeGainResistor: 0
# afeBias: 0
# afeBiasPolarity: 1
# auxOffset: -0.75
# adcOffset(0-3): 0.75, 1.11, 1.32, 2.79
# adcGain: 1
# sensorType: 0
# sensorSensitivity: 618.90
# sensorOffset: -91.40
# sensitivity factors (-30 to +50C)  = [ 1.92, 1.69, 1.43, 1.22, 1.09, 1.00, 0.93, 0.89, 0.86 ]
# zero current factors (-30 to +50C) = [ 5.00, 5.00, 5.00, 0.00, -5.00, -65.00, -120.00, -205.00, -375.00 ]
# data_fields = [ 1, 1, 2, 2, 2, 2, 2, 3, 3, 4,    4, 0, 0, 0, 3, 0, 0, 0, 0, 0,    0, 0, 0, 0 ]
 
INDEX, TIME, Vin, Vdd, Vaux, Vwe, Vref, TEMP, PPMraw, PPM, PPMf, AUXf, 
1, 17948, 0.00, 4.97, 3.83, 39.86, 1024.00, 23.950, 0.313, 0.4494, 0.2247, 1.914
2, 19948, 0.00, 4.97, 2.42, 39.50, 1024.00, 23.950, 0.310, 0.4465, 0.3245, 2.721
3, 21948, 0.00, 4.97, 2.22, 39.56, 1024.00, 23.950, 0.311, 0.4470, 0.3998, 3.242
4, 23948, 0.00, 4.95, 3.11, 40.37, 1024.00, 23.962, 0.317, 0.4535, 0.4538, 3.557
5, 25948, 0.00, 4.97, 1.06, 40.23, 1024.00, 23.937, 0.316, 0.4522, 0.4903, 3.677
6, 27948, 0.00, 4.97, 1.11, 40.33, 1024.00, 23.950, 0.317, 0.4530, 0.5126, 3.595
7, 29948, 0.00, 4.97, -2.64, 39.16, 1024.00, 23.937, 0.308, 0.4438, 0.5236, 3.264
