Timestamp,geo:lat,geo:long,Value
2015-07-07T15:54:08.000+00:00,37.80277757,-122.2990679,4.86
2015-07-07T15:54:09.000+00:00,37.80278145,-122.2990807,4.91
2015-07-07T15:54:10.000+00:00,37.80278706,-122.2990913,4.41
2015-07-07T15:54:11.000+00:00,37.80279423,-122.2991024,4.16
2015-07-07T15:54:12.000+00:00,37.80280157,-122.2991118,3.76
2015-07-07T15:54:13.000+00:00,37.80280465,-122.2991218,3.37
2015-07-07T15:54:14.000+00:00,37.80280766,-122.2991337,3.42
2015-07-07T15:54:15.000+00:00,37.80281043,-122.299144,3.27
2015-07-07T15:54:16.000+00:00,37.80281257,-122.2991543,3.37
2015-07-07T15:54:17.000+00:00,37.80281531,-122.2991633,3.46
2015-07-07T15:54:18.000+00:00,37.8028195,-122.299172,3.51
2015-07-07T15:54:19.000+00:00,37.80282453,-122.2991813,3.32
2015-07-07T15:54:20.000+00:00,37.8028297,-122.2991936,3.37
2015-07-07T15:54:21.000+00:00,37.80283512,-122.2992071,3.81
2015-07-07T15:54:22.000+00:00,37.80283999,-122.2992201,3.91
2015-07-07T15:54:23.000+00:00,37.80284838,-122.2992277,4.76
2015-07-07T15:54:24.000+00:00,37.80285582,-122.2992349,4.26
2015-07-07T15:54:25.000+00:00,37.80286426,-122.2992447,3.86
2015-07-07T15:54:26.000+00:00,37.80286641,-122.2992571,4.26
2015-07-07T15:54:27.000+00:00,37.80287049,-122.2992658,4.46
2015-07-07T15:54:28.000+00:00,37.80287438,-122.2992755,4.56
2015-07-07T15:54:29.000+00:00,37.80287612,-122.299285,5.56
2015-07-07T15:54:30.000+00:00,37.80287393,-122.2992968,5.21
2015-07-07T15:54:31.000+00:00,37.80287003,-122.2993111,5.06
2015-07-07T15:54:32.000+00:00,37.8028676,-122.2993275,4.86
2015-07-07T15:54:33.000+00:00,37.80286982,-122.2993431,5.56
2015-07-07T15:54:34.000+00:00,37.80286883,-122.2993534,5.01
2015-07-07T15:54:35.000+00:00,37.80286764,-122.299362,4.71
2015-07-07T15:54:36.000+00:00,37.80286867,-122.2993722,4.46
2015-07-07T15:54:37.000+00:00,37.80287108,-122.2993817,4.41
2015-07-07T15:54:38.000+00:00,37.8028762,-122.2993946,4.36
2015-07-07T15:54:39.000+00:00,37.80288278,-122.2994077,3.91
2015-07-07T15:54:40.000+00:00,37.80288889,-122.2994207,3.56
2015-07-07T15:54:41.000+00:00,37.80288963,-122.2994353,3.86
2015-07-07T15:54:42.000+00:00,37.8028922,-122.2994479,3.76
2015-07-07T15:54:43.000+00:00,37.80289551,-122.2994598,3.96
2015-07-07T15:54:44.000+00:00,37.8028983,-122.2994693,4.21
2015-07-07T15:54:45.000+00:00,37.8029068,-122.2994746,4.41
2015-07-07T15:54:46.000+00:00,37.80291112,-122.2994785,4.96
2015-07-07T15:54:47.000+00:00,37.80291262,-122.2994852,5.11
2015-07-07T15:54:48.000+00:00,37.80291172,-122.2994941,5.21
2015-07-07T15:54:49.000+00:00,37.80291309,-122.2995016,5.11
2015-07-07T15:54:50.000+00:00,37.80291528,-122.2995096,5.26
2015-07-07T15:54:51.000+00:00,37.80291852,-122.2995179,5.21
2015-07-07T15:54:52.000+00:00,37.80292178,-122.2995326,5.36
2015-07-07T15:54:53.000+00:00,37.80292832,-122.29955,5.31
2015-07-07T15:54:54.000+00:00,37.80293272,-122.2995634,4.91
2015-07-07T15:54:55.000+00:00,37.80293871,-122.2995758,5.06
2015-07-07T15:54:56.000+00:00,37.80294188,-122.2995844,5.36
2015-07-07T15:54:57.000+00:00,37.80294587,-122.2995937,5.06
2015-07-07T15:54:58.000+00:00,37.80295087,-122.2996066,5.26
2015-07-07T15:54:59.000+00:00,37.80295666,-122.2996172,5.21
2015-07-07T15:55:00.000+00:00,37.8029629,-122.2996266,5.16
2015-07-07T15:55:01.000+00:00,37.80296964,-122.2996377,4.81
2015-07-07T15:55:02.000+00:00,37.80297596,-122.2996524,5.26
2015-07-07T15:55:03.000+00:00,37.80298295,-122.2996654,4.91
2015-07-07T15:55:04.000+00:00,37.80298925,-122.2996719,4.91
2015-07-07T15:55:05.000+00:00,37.80300101,-122.2996797,4.51
2015-07-07T15:55:06.000+00:00,37.80301139,-122.2996828,4.56
2015-07-07T15:55:07.000+00:00,37.80302091,-122.2996874,4.91
2015-07-07T15:55:08.000+00:00,37.80302451,-122.2996952,4.61
2015-07-07T15:55:09.000+00:00,37.80302081,-122.2997069,4.41
2015-07-07T15:55:10.000+00:00,37.80301517,-122.2997167,4.01
2015-07-07T15:55:11.000+00:00,37.80301151,-122.299726,4.51
2015-07-07T15:55:12.000+00:00,37.80301431,-122.2997364,4.61
2015-07-07T15:55:13.000+00:00,37.80302014,-122.2997448,4.26
2015-07-07T15:55:14.000+00:00,37.80302606,-122.2997489,3.81
2015-07-07T15:55:15.000+00:00,37.80303568,-122.2997528,3.61
2015-07-07T15:55:16.000+00:00,37.80304461,-122.2997607,4.21
2015-07-07T15:55:17.000+00:00,37.80305469,-122.299772,4.06
2015-07-07T15:55:18.000+00:00,37.80306125,-122.2997839,3.81
2015-07-07T15:55:19.000+00:00,37.80306662,-122.2997982,4.01
2015-07-07T15:55:20.000+00:00,37.80307339,-122.2998123,4.11
2015-07-07T15:55:21.000+00:00,37.80308101,-122.299829,4.01
2015-07-07T15:55:22.000+00:00,37.80308548,-122.2998422,3.96
2015-07-07T15:55:23.000+00:00,37.80308954,-122.2998525,3.71
2015-07-07T15:55:24.000+00:00,37.80309421,-122.2998648,3.76
2015-07-07T15:55:25.000+00:00,37.80309875,-122.2998757,4.46
2015-07-07T15:55:26.000+00:00,37.80310236,-122.299886,4.41
2015-07-07T15:55:27.000+00:00,37.80310682,-122.2998994,5.41
